id_erm;mre_guid;departamento;municipio;tipologia;cod_dane_muni;cod_dane_depto;organización;motivo_de_actividad;fecha_de_inicio;año_inicio;mes;fecha_de_finalizacion;nombre_del_sitio;location_guid;tipo_de_actividad;otromodeloerm;indigenashombresedad0a5;indigenashombresedad6a11;indigenashombresedad12a17;indigenashombresedad18a23;indigenashombresedad24omas;indigenashombresedadtotalh;indigenasmujeresedad0a5;indigenasmujeresedad6a11;indigenasmujeresedad12a17;indigenasmujeresedad18a23;indigenasmujeresedad24omas;indigenasmujeresedadtotalm;afroshombresedad0a5;afroshombresedad6a11;afroshombresedad12a17;afroshombresedad18a23;afroshombresedad24omas;afroshombresedadtotalh;afrosmujeresedad0a5;afrosmujeresedad6a11;afrosmujeresedad12a17;afrosmujeresedad18a23;afrosmujeresedad24omas;afrosmujeresedadtotalm;mestizoshombresedad0a5;mestizoshombresedad6a11;mestizoshombresedad12a17;mestizoshombresedad18a23;mestizoshombresedad24omas;mestizoshombresedadtotalh;mestizosmujeresedad0a5;mestizosmujeresedad6a11;mestizosmujeresedad12a17;mestizosmujeresedad18a23;mestizosmujeresedad24omas;mestizosmujeresedadtotalm;comunidadintervenida;motivoactividad;tipodeevidencias;deptomunicipio;tipolugar;otroevidencias;npersonastotal
ERM_ACT_1233;ac10-0256-1604cb401a0-fda4da74-1f08-7;CALDAS;PENSILVANIA;Tipo II;17541;17;SENA;NINGUNO;1/11/2015;2015;11;;;0a0a-502c-11aa107c061-8d74e919-22dc-e;Erm Comunitaria;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Otro. Cuál?;;CALDAS-PENSILVANIA;SIN INFORMACION;;73
ERM_ACT_1234;ac10-0256-1604cb40d77-340aa6de-1f0f-d;CALDAS;SUPÍA;Tipo II;17777;17;SENA;NINGUNO;1/10/2015;2015;10;;;0a0a-502c-11aa1044026-fa526ccc-4a0-60;Erm Comunitaria;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Otro. Cuál?;;CALDAS-SUPÍA;SIN INFORMACION;;142
ERM_ACT_1235;ac10-0256-1604cb41826-27c5a98a-1f16-a;CASANARE;AGUAZUL;Tipo I;85010;85;SENA;NINGUNO;1/11/2015;2015;11;;;0a0a-502c-11aa106f736-24dcc72-1c1c-1e;Erm Comunitaria;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Otro. Cuál?;;CASANARE-AGUAZUL;SIN INFORMACION;;90
ERM_ACT_1236;ac10-0256-1604cb424c8-25a59b66-1f1d-c;CASANARE;CHÁMEZA;Tipo II;85015;85;SENA;NINGUNO;1/11/2015;2015;11;;;0a0a-502c-11aa103eca8-d0ab55b5-1fc-3d;Erm Comunitaria;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Otro. Cuál?;;CASANARE-CHÁMEZA;SIN INFORMACION;;131
ERM_ACT_1237;ac10-0256-1604cb42f48-9b9fcfd2-1f24-f;CASANARE;LA SALINA;Tipo II;85136;85;SENA;NINGUNO;1/11/2015;2015;11;;;0a0a-502c-11aa1063f50-7cf918dd-15dc-1;Erm Comunitaria;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Otro. Cuál?;;CASANARE-LA SALINA;SIN INFORMACION;;100
ERM_ACT_1238;ac10-0256-1604cb43ab2-dd6fb28d-1f2b-b;CASANARE;PAZ DE ARIPORO;Tipo I;85250;85;SENA;NINGUNO;1/11/2015;2015;11;;;0a0a-502c-11aa10a88b6-1536447f-3bbc-7;Erm Comunitaria;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Otro. Cuál?;;CASANARE-PAZ DE ARIPORO;SIN INFORMACION;;99
ERM_ACT_1239;ac10-0256-1604cb446a8-b78d84ad-1f32-d;CASANARE;SÁCAMA;Tipo I;85315;85;SENA;NINGUNO;1/11/2015;2015;11;;;0a0a-502c-11aa10a0f60-9d13bdf5-379c-f;Erm Comunitaria;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Otro. Cuál?;;CASANARE-SÁCAMA;SIN INFORMACION;;63
ERM_ACT_1240;ac10-0256-1604cb45241-32842842-1f39-f;CAUCA;BUENOS AIRES;Tipo I;19110;19;SENA;NINGUNO;1/06/2015;2015;6;;;0a0a-502c-11aa108e73c-983e72a4-2d4c-2;Erm Comunitaria;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Otro. Cuál?;;CAUCA-BUENOS AIRES;SIN INFORMACION;;25
ERM_ACT_1241;ac10-0256-1604cb45ed4-bc843513-1f40-f;CAUCA;LA VEGA;Tipo II;19397;19;SENA;NINGUNO;1/06/2015;2015;6;;;0a0a-502c-11aa1095b14-5ed434c2-3140-e;Erm Comunitaria;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Otro. Cuál?;;CAUCA-LA VEGA;SIN INFORMACION;;30
ERM_ACT_1242;ac10-0256-1604cb46ced-173de7dc-1f47-8;CAUCA;PATÍA;Tipo II;19532;19;SENA;NINGUNO;1/06/2015;2015;6;;;0a0a-502c-11aa104c033-4da5b3d9-8d4-fb;Erm Comunitaria;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Otro. Cuál?;;CAUCA-PATÍA;SIN INFORMACION;;40
ERM_ACT_1243;ac10-0256-1604cb4779b-48756b1e-1f4e-e;CAUCA;POPAYÁN;Tipo II;19001;19;SENA;NINGUNO;1/06/2015;2015;6;;;0a0a-502c-11aa1094337-81dc6f00-3078-4;Erm Comunitaria;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Otro. Cuál?;;CAUCA-POPAYÁN;SIN INFORMACION;;35
ERM_ACT_1244;ac10-0256-1604cb4844e-c919d3e9-1f55-1;CAUCA;SUÁREZ;Tipo I;19780;19;SENA;NINGUNO;1/06/2015;2015;6;;;0a0a-502c-11aa105d9a1-af8b171-1260-20;Erm Comunitaria;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Otro. Cuál?;;CAUCA-SUÁREZ;SIN INFORMACION;;30
ERM_ACT_1245;ac10-0256-1604cb48fc7-9a2d64ea-1f5c-e;CHOCO;ALTO BAUDÓ;Tipo I;27025;27;SENA;NINGUNO;1/11/2015;2015;11;;;0a0a-502c-11aa1097246-bf7d3ebf-3220-d;Erm Comunitaria;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Otro. Cuál?;;CHOCO-ALTO BAUDÓ;SIN INFORMACION;;202
ERM_ACT_1246;ac10-0256-1604cb49a66-d544237c-1f63-1;CHOCO;QUIBDÓ;Tipo I;27001;27;SENA;NINGUNO;1/11/2015;2015;11;;;0a0a-502c-11aa1058017-66fca83b-f4c-53;Erm Comunitaria;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Otro. Cuál?;;CHOCO-QUIBDÓ;SIN INFORMACION;;230
ERM_ACT_1247;ac10-0256-1604cb4a68b-77514ff0-1f6a-3;CHOCO;RIOSUCIO;Tipo I;27615;27;SENA;NINGUNO;1/11/2015;2015;11;;;0a0a-502c-11aa1099dab-abfca405-33a4-8;Erm Comunitaria;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Otro. Cuál?;;CHOCO-RIOSUCIO;SIN INFORMACION;;137
ERM_ACT_1248;ac10-0256-1604cb4b205-bb40ec14-1f71-a;CHOCO;TADÓ;Tipo I;27787;27;SENA;NINGUNO;1/11/2015;2015;11;;;0a0a-502c-11aa10a273d-ecba5204-386c-6;Erm Comunitaria;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Otro. Cuál?;;CHOCO-TADÓ;SIN INFORMACION;;204
ERM_ACT_1249;ac10-0256-1604cb4bea7-52891088-1f78-c;CUNDINAMARCA;CABRERA;Tipo II;25120;25;SENA;NINGUNO;1/10/2015;2015;10;;;0a0a-502c-11aa1058ecd-319d2b7d-fd4-6a;Erm Comunitaria;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Otro. Cuál?;;CUNDINAMARCA-CABRERA;SIN INFORMACION;;92
ERM_ACT_1250;ac10-0256-1604cb4cb3a-910b6737-1f7f-7;CUNDINAMARCA;GUADUAS;Tipo II;25320;25;SENA;NINGUNO;1/10/2015;2015;10;;;0a0a-502c-11aa106a79f-e0c54ef3-1968-2;Erm Comunitaria;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Otro. Cuál?;;CUNDINAMARCA-GUADUAS;SIN INFORMACION;;189
ERM_ACT_1251;ac10-0256-1604cb4d6a4-dd5b6e7d-1f86-3;CUNDINAMARCA;LA PALMA;Tipo II;25394;25;SENA;NINGUNO;1/10/2015;2015;10;;;0a0a-502c-11aa105e559-e62495f4-12c4-9;Erm Comunitaria;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Otro. Cuál?;;CUNDINAMARCA-LA PALMA;SIN INFORMACION;;150
ERM_ACT_1252;ac10-0256-1604cb4e395-7f1b661a-1f8d-2;HUILA;BARAYA;Tipo I;41078;41;SENA;NINGUNO;1/10/2015;2015;10;;;0a0a-502c-11aa105beb7-dcb9e79-1180-65;Erm Comunitaria;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Otro. Cuál?;;HUILA-BARAYA;SIN INFORMACION;;26
ERM_ACT_1253;ac10-0256-1604cb4ee81-f6916624-1f94-4;HUILA;COLOMBIA;Tipo I;41206;41;SENA;NINGUNO;1/10/2015;2015;10;;;0a0a-502c-11aa108f1ac-aa9b27a2-2dac-2;Erm Comunitaria;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Otro. Cuál?;;HUILA-COLOMBIA;SIN INFORMACION;;63
ERM_ACT_1254;ac10-0256-1604cb4fbb0-9ebbd213-1f9b-c;HUILA;TELLO;Tipo I;41799;41;SENA;NINGUNO;1/10/2015;2015;10;;;0a0a-502c-11aa1097737-9b75d330-3248-f;Erm Comunitaria;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Otro. Cuál?;;HUILA-TELLO;SIN INFORMACION;;42
ERM_ACT_1261;ac10-0256-1604cb506bd-37d22978-1fa2-e;PUTUMAYO;ORITO;Tipo I;86320;86;SENA;NINGUNO;1/07/2015;2015;7;;;0a0a-502c-11aa10a638a-5715cf15-3a74-9;Erm Comunitaria;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Otro. Cuál?;;PUTUMAYO-ORITO;SIN INFORMACION;;624
ERM_ACT_1262;ac10-0256-1604cb5142a-f3acf27e-1fa9-d;PUTUMAYO;PUERTO ASÍS;Tipo I;86568;86;SENA;NINGUNO;1/07/2015;2015;7;;;0a0a-502c-11aa109ea15-a3d65823-3654-e;Erm Comunitaria;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Otro. Cuál?;;PUTUMAYO-PUERTO ASÍS;SIN INFORMACION;;634
ERM_ACT_1263;ac10-0256-1604cb51f85-742e341f-1fb0-6;PUTUMAYO;PUERTO CAICEDO;Tipo I;86569;86;SENA;NINGUNO;1/07/2015;2015;7;;;0a0a-502c-11aa1065a1b-307b872d-16d0-3;Erm Comunitaria;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Otro. Cuál?;;PUTUMAYO-PUERTO CAICEDO;SIN INFORMACION;;226
ERM_ACT_1264;ac10-0256-1604cb52aa0-ccb69dd1-1fb7-5;SANTANDER;GIRÓN;Tipo II;68307;68;SENA;NINGUNO;1/11/2015;2015;11;;;0a0a-502c-11aa105a3ad-d6ba625c-1090-8;Erm Comunitaria;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Otro. Cuál?;;SANTANDER-GIRÓN;SIN INFORMACION;;220
ERM_ACT_1265;ac10-0256-1604cb536a6-f6c84469-1fbe-c;SANTANDER;LEBRÍJA;Tipo II;68406;68;SENA;NINGUNO;1/10/2015;2015;10;;;0a0a-502c-11aa104c8ed-e13f252e-924-8e;Erm Comunitaria;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Otro. Cuál?;;SANTANDER-LEBRÍJA;SIN INFORMACION;;244
ERM_ACT_1266;ac10-0256-1604cb541d2-80cdb2b4-1fc5-7;SANTANDER;SURATÁ;Tipo II;68780;68;SENA;NINGUNO;1/10/2015;2015;10;;;0a0a-502c-11aa1053728-8667b1c0-cbc-3b;Erm Comunitaria;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Otro. Cuál?;;SANTANDER-SURATÁ;SIN INFORMACION;;75
ERM_ACT_2174;ac10-0256-1604cb54f8e-b4b174bf-1fcc-6;NARIÑO;TUMACO;Tipo I;52835;52;Comité Internacional de la Cruz Roja;Programa CpA;27/06/2013;2013;6;;;0a0a-502c-11aa106e4f6-13632de8-1b78-b;ERM Comunitaria y AV;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;22;;Otro. Cuál?;;NARIÑO - TUMACO;;;25
ERM_ACT_2175;ac10-0256-1604cb55ceb-e4f98d50-1fd4-c;META;GRANADA;Tipo I;50313;50;Comité Internacional de la Cruz Roja;Programa CpA;21/06/2013;2013;6;;;0a0a-502c-11aa108ee80-e4492df2-2d90-5;ERM Comunitaria y AV;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;;Otro. Cuál?;;META - GRANADA;;;2
ERM_ACT_2176;ac10-0256-1604cb5696f-5c7d4d0-1fdc-27;META;GRANADA;Tipo I;50313;50;Comité Internacional de la Cruz Roja;Programa CpA;24/06/2013;2013;6;;;0a0a-502c-11aa108ee80-e4492df2-2d90-5;ERM Comunitaria y AV;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;Otro. Cuál?;;META - GRANADA;;;1
ERM_ACT_2177;ac10-0256-1604cb574e8-cd98dc6e-1fe3-8;META;GRANADA;Tipo I;50313;50;Comité Internacional de la Cruz Roja;Programa CpA;24/06/2013;2013;6;;;0a0a-502c-11aa108ee80-e4492df2-2d90-5;ERM Comunitaria y AV;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;Otro. Cuál?;;META - GRANADA;;;1
ERM_ACT_1385;ac10-0256-1604cb57fb6-f498ca2e-1fea-8;CHOCO;SIPÍ;Tipo I;27745;27;FENIX GROUP;NINGUNO;1/08/2015;2015;8;;;0a0a-502c-11aa1094c7e-4148d242-30c8-8;Erm Comunitaria;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Otro. Cuál?;;CHOCO-SIPÍ;SIN INFORMACION;;10
ERM_ACT_1386;ac10-0256-1604cb58b6e-89dd5eae-1ff1-5;CHOCO;TADÓ;Tipo I;27787;27;FENIX GROUP;NINGUNO;1/08/2015;2015;8;;;0a0a-502c-11aa10a273d-ecba5204-386c-6;Erm Comunitaria;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Otro. Cuál?;;CHOCO-TADÓ;SIN INFORMACION;;10
ERM_ACT_1387;ac10-0256-1604cb5966a-f35596c8-1ff8-8;CORDOBA;MONTELÍBANO;Tipo I;23466;23;FENIX GROUP;NINGUNO;1/08/2015;2015;8;;;0a0a-502c-11aa106bbd3-59492dfb-1a18-7;Erm Comunitaria;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Otro. Cuál?;;CORDOBA-MONTELÍBANO;SIN INFORMACION;;10
ERM_ACT_1388;ac10-0256-1604cb5a242-45118973-1fff-d;CORDOBA;PUERTO LIBERTADOR;Tipo I;23580;23;FENIX GROUP;NINGUNO;1/08/2015;2015;8;;;0a0a-502c-11aa105553f-bfbf2120-dcc-37;Erm Comunitaria;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Otro. Cuál?;;CORDOBA-PUERTO LIBERTADOR;SIN INFORMACION;;10
ERM_ACT_1389;ac10-0256-1604cb5afa0-75a06f5b-2006-4;CORDOBA;TIERRALTA;Tipo I;23807;23;FENIX GROUP;NINGUNO;1/08/2015;2015;8;;;0a0a-502c-11aa1074ca8-a1d52bb-1ee4-24;Erm Comunitaria;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Otro. Cuál?;;CORDOBA-TIERRALTA;SIN INFORMACION;;10
ERM_ACT_1390;ac10-0256-1604cb5bb19-65c12d27-200d-5;GUAVIARE;EL RETORNO;Tipo I;95025;95;FENIX GROUP;NINGUNO;1/08/2015;2015;8;;;0a0a-502c-11aa103aeb4-57d726ed-38-d9b;Erm Comunitaria;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Otro. Cuál?;;GUAVIARE-EL RETORNO;SIN INFORMACION;;10
ERM_ACT_1391;ac10-0256-1604cb5c79c-711f9b41-2014-8;GUAVIARE;SAN JOSÉ DEL GUAVIARE;Tipo I;95001;95;FENIX GROUP;NINGUNO;1/08/2015;2015;8;;;0a0a-502c-11aa104925d-2c2402a0-74c-1f;Erm Comunitaria;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Otro. Cuál?;;GUAVIARE-SAN JOSÉ DEL GUAVIARE;SIN INFORMACION;;10
ERM_ACT_1392;ac10-0256-1604cb5d5a6-e6ca0e5e-201b-5;HUILA;ALGECIRAS;Tipo I;41020;41;FENIX GROUP;NINGUNO;1/08/2015;2015;8;;;0a0a-502c-11aa10902f2-b60d0949-2e44-1;Erm Comunitaria;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Otro. Cuál?;;HUILA-ALGECIRAS;SIN INFORMACION;;10
ERM_ACT_1393;ac10-0256-1604cb5e323-f5b7109c-2022-f;HUILA;BARAYA;Tipo I;41078;41;FENIX GROUP;NINGUNO;1/08/2015;2015;8;;;0a0a-502c-11aa105beb7-dcb9e79-1180-65;Erm Comunitaria;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Otro. Cuál?;;HUILA-BARAYA;SIN INFORMACION;;10
ERM_ACT_1394;ac10-0256-1604cb5ef2a-f09740f2-2029-2;META;ACACÍAS;Tipo II;50006;50;FENIX GROUP;NINGUNO;1/08/2015;2015;8;;;0a0a-502c-11aa104ed7d-45d75509-a4c-33;Erm Comunitaria;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Otro. Cuál?;;META-ACACÍAS;SIN INFORMACION;;10
